Code	Description	Four_Digit_Code	Four_Digit_Description	Two_Digit_Code	Two_Digit_Description	Definition
830309	Poultry	8303	Livestock Raising	83	Animal Production and Animal Primary Products	Animal Production and Animal Primary Products/Livestock Raising/Poultry
830310	Sheep - Meat	8303	Livestock Raising	83	Animal Production and Animal Primary Products	Animal Production and Animal Primary Products/Livestock Raising/Sheep - Meat
830311	Sheep - Wool	8303	Livestock Raising	83	Animal Production and Animal Primary Products	Animal Production and Animal Primary Products/Livestock Raising/Sheep - Wool
830399	Livestock Raising not elsewhere classified	8303	Livestock Raising	83	Animal Production and Animal Primary Products	Animal Production and Animal Primary Products/Livestock Raising/Livestock Raising not elsewhere classified
830401	Browse Crops	8304	Pasture, Browse and Fodder Crops	83	Animal Production and Animal Primary Products	Animal Production and Animal Primary Products/Pasture, Browse and Fodder Crops/Browse Crops
830402	Lucerne	8304	Pasture, Browse and Fodder Crops	83	Animal Production and Animal Primary Products	Animal Production and Animal Primary Products/Pasture, Browse and Fodder Crops/Lucerne
830403	Native and Residual Pastures	8304	Pasture, Browse and Fodder Crops	83	Animal Production and Animal Primary Products	Animal Production and Animal Primary Products/Pasture, Browse and Fodder Crops/Native and Residual Pastures
830404	Non-Cereal Crops for Hay	8304	Pasture, Browse and Fodder Crops	83	Animal Production and Animal Primary Products	Animal Production and Animal Primary Products/Pasture, Browse and Fodder Crops/Non-Cereal Crops for Hay
830405	Non-Cereal Crops for Silage/Green Feed	8304	Pasture, Browse and Fodder Crops	83	Animal Production and Animal Primary Products	Animal Production and Animal Primary Products/Pasture, Browse and Fodder Crops/Non-Cereal Crops for Silage/Green Feed
830406	Sown Pastures (excl. Lucerne)	8304	Pasture, Browse and Fodder Crops	83	Animal Production and Animal Primary Products	Animal Production and Animal Primary Products/Pasture, Browse and Fodder Crops/Sown Pastures (excl. Lucerne)
