Version	Code	Description	Four_Digit_Code	Four_Digit_Description	Two_Digit_Code	Two_Digit_Description	Definition
2.0.0	030100	Manufacturing, Engineering and Technology not further defined	0301	Manufacturing, Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Manufacturing, Engineering and Technology/Manufacturing, Engineering and Technology not further defined
2.0.0	030101	Manufacturing Engineering	0301	Manufacturing, Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Manufacturing, Engineering and Technology/Manufacturing Engineering
2.0.0	030103	Printing	0301	Manufacturing, Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Manufacturing, Engineering and Technology/Printing
2.0.0	030105	Textile Making	0301	Manufacturing, Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Manufacturing, Engineering and Technology/Textile Making
2.0.0	030107	Garment Making	0301	Manufacturing, Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Manufacturing, Engineering and Technology/Garment Making
2.0.0	030108	Plastics Processing Technology	0301	Manufacturing, Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Manufacturing, Engineering and Technology/Plastics Processing Technology
2.0.0	030109	Footwear Making	0301	Manufacturing, Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Manufacturing, Engineering and Technology/Footwear Making
2.0.0	030111	Wood Machining and Turning	0301	Manufacturing, Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Manufacturing, Engineering and Technology/Wood Machining and Turning
2.0.0	030113	Cabinet Making	0301	Manufacturing, Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Manufacturing, Engineering and Technology/Cabinet Making
2.0.0	030115	Furniture Upholstery and Renovation	0301	Manufacturing, Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Manufacturing, Engineering and Technology/Furniture Upholstery and Renovation
2.0.0	030117	Furniture Polishing	0301	Manufacturing, Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Manufacturing, Engineering and Technology/Furniture Polishing
2.0.0	030199	Manufacturing Engineering and Technology not elsewhere classified.	0301	Manufacturing, Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Manufacturing, Engineering and Technology/Manufacturing Engineering and Technology not elsewhere classified.
2.0.0	030300	Process and Resources Engineering not further defined	0303	Process and Resources Engineering	03	Engineering and Related Technologies	Engineering and Related Technologies/Process and Resources Engineering/Process and Resources Engineering not further defined
2.0.0	030301	Chemical Engineering	0303	Process and Resources Engineering	03	Engineering and Related Technologies	Engineering and Related Technologies/Process and Resources Engineering/Chemical Engineering
2.0.0	030303	Mining and Resources Engineering	0303	Process and Resources Engineering	03	Engineering and Related Technologies	Engineering and Related Technologies/Process and Resources Engineering/Mining and Resources Engineering
2.0.0	030304	Wood Based Manufacturing	0303	Process and Resources Engineering	03	Engineering and Related Technologies	Engineering and Related Technologies/Process and Resources Engineering/Wood Based Manufacturing
2.0.0	030305	Materials Engineering	0303	Process and Resources Engineering	03	Engineering and Related Technologies	Engineering and Related Technologies/Process and Resources Engineering/Materials Engineering
2.0.0	030306	Ceramics, Industrial Glass and Rubber Manufacturing	0303	Process and Resources Engineering	03	Engineering and Related Technologies	Engineering and Related Technologies/Process and Resources Engineering/Ceramics, Industrial Glass and Rubber Manufacturing
2.0.0	030307	Food (excluding Seafood) Processing Technology	0303	Process and Resources Engineering	03	Engineering and Related Technologies	Engineering and Related Technologies/Process and Resources Engineering/Food (excluding Seafood) Processing Technology
2.0.0	030308	Seafood Processing	0303	Process and Resources Engineering	03	Engineering and Related Technologies	Engineering and Related Technologies/Process and Resources Engineering/Seafood Processing
2.0.0	030399	Process and Resources Engineering not elsewhere classified	0303	Process and Resources Engineering	03	Engineering and Related Technologies	Engineering and Related Technologies/Process and Resources Engineering/Process and Resources Engineering not elsewhere classified
2.0.0	030500	Automotive Engineering and Technology not further defined	0305	Automotive Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Automotive Engineering and Technology/Automotive Engineering and Technology not further defined
2.0.0	030501	Automotive Engineering	0305	Automotive Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Automotive Engineering and Technology/Automotive Engineering
2.0.0	030503	Vehicle Mechanics	0305	Automotive Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Automotive Engineering and Technology/Vehicle Mechanics
2.0.0	030505	Automotive Electrics and Electronics	0305	Automotive Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Automotive Engineering and Technology/Automotive Electrics and Electronics
2.0.0	030507	Automotive Vehicle  Refinishing	0305	Automotive Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Automotive Engineering and Technology/Automotive Vehicle  Refinishing
2.0.0	030509	Automotive Body Construction	0305	Automotive Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Automotive Engineering and Technology/Automotive Body Construction
2.0.0	030511	Panel Beating	0305	Automotive Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Automotive Engineering and Technology/Panel Beating
2.0.0	030513	Upholstery and Vehicle Trimming	0305	Automotive Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Automotive Engineering and Technology/Upholstery and Vehicle Trimming
2.0.0	030515	Automotive Vehicle Operations	0305	Automotive Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Automotive Engineering and Technology/Automotive Vehicle Operations
2.0.0	030599	Automotive Engineering and Technology not elsewhere classified	0305	Automotive Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Automotive Engineering and Technology/Automotive Engineering and Technology not elsewhere classified
2.0.0	030700	Mechanical and Industrial Engineering and Technology not further defined	0307	Mechanical and Industrial Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Mechanical and Industrial Engineering and Technology/Mechanical and Industrial Engineering and Technology not further defined
2.0.0	030701	Mechanical Engineering	0307	Mechanical and Industrial Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Mechanical and Industrial Engineering and Technology/Mechanical Engineering
2.0.0	030703	Industrial Engineering	0307	Mechanical and Industrial Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Mechanical and Industrial Engineering and Technology/Industrial Engineering
2.0.0	030705	Toolmaking	0307	Mechanical and Industrial Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Mechanical and Industrial Engineering and Technology/Toolmaking
2.0.0	030707	Metal Fitting, Turning and Machining	0307	Mechanical and Industrial Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Mechanical and Industrial Engineering and Technology/Metal Fitting, Turning and Machining
2.0.0	030709	Sheetmetal Working	0307	Mechanical and Industrial Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Mechanical and Industrial Engineering and Technology/Sheetmetal Working
2.0.0	030711	Boiler-making and Welding	0307	Mechanical and Industrial Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Mechanical and Industrial Engineering and Technology/Boiler-making and Welding
2.0.0	030713	Metal Casting and Pattern Making	0307	Mechanical and Industrial Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Mechanical and Industrial Engineering and Technology/Metal Casting and Pattern Making
2.0.0	030715	Precision Metalworking	0307	Mechanical and Industrial Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Mechanical and Industrial Engineering and Technology/Precision Metalworking
2.0.0	030717	Plant and Machine Operations	0307	Mechanical and Industrial Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Mechanical and Industrial Engineering and Technology/Plant and Machine Operations
2.0.0	030799	Mechanical and Industrial Engineering & Technology not elsewhere classified	0307	Mechanical and Industrial Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Mechanical and Industrial Engineering and Technology/Mechanical and Industrial Engineering & Technology not elsewhere classified
2.0.0	030900	Civil Engineering not further defined	0309	Civil Engineering	03	Engineering and Related Technologies	Engineering and Related Technologies/Civil Engineering/Civil Engineering not further defined
2.0.0	030901	Construction Engineering	0309	Civil Engineering	03	Engineering and Related Technologies	Engineering and Related Technologies/Civil Engineering/Construction Engineering
2.0.0	030903	Structural Engineering	0309	Civil Engineering	03	Engineering and Related Technologies	Engineering and Related Technologies/Civil Engineering/Structural Engineering
2.0.0	030905	Building Services Engineering	0309	Civil Engineering	03	Engineering and Related Technologies	Engineering and Related Technologies/Civil Engineering/Building Services Engineering
2.0.0	030907	Water and Sanitary Engineering	0309	Civil Engineering	03	Engineering and Related Technologies	Engineering and Related Technologies/Civil Engineering/Water and Sanitary Engineering
2.0.0	030909	Transport Engineering	0309	Civil Engineering	03	Engineering and Related Technologies	Engineering and Related Technologies/Civil Engineering/Transport Engineering
2.0.0	030910	Road Construction	0309	Civil Engineering	03	Engineering and Related Technologies	Engineering and Related Technologies/Civil Engineering/Road Construction
2.0.0	030911	Geotechnical Engineering	0309	Civil Engineering	03	Engineering and Related Technologies	Engineering and Related Technologies/Civil Engineering/Geotechnical Engineering
2.0.0	030913	Ocean Engineering	0309	Civil Engineering	03	Engineering and Related Technologies	Engineering and Related Technologies/Civil Engineering/Ocean Engineering
2.0.0	030999	Civil Engineering not elsewhere classified	0309	Civil Engineering	03	Engineering and Related Technologies	Engineering and Related Technologies/Civil Engineering/Civil Engineering not elsewhere classified
2.0.0	031100	Geomatic Engineering not further defined	0311	Geomatic Engineering	03	Engineering and Related Technologies	Engineering and Related Technologies/Geomatic Engineering/Geomatic Engineering not further defined
2.0.0	031101	Surveying	0311	Geomatic Engineering	03	Engineering and Related Technologies	Engineering and Related Technologies/Geomatic Engineering/Surveying
2.0.0	031103	Mapping Science	0311	Geomatic Engineering	03	Engineering and Related Technologies	Engineering and Related Technologies/Geomatic Engineering/Mapping Science
2.0.0	031199	Geomatic Engineering not elsewhere classified	0311	Geomatic Engineering	03	Engineering and Related Technologies	Engineering and Related Technologies/Geomatic Engineering/Geomatic Engineering not elsewhere classified
2.0.0	031300	Electrical and Electronic Engineering and Technology not further defined	0313	Electrical and Electronic Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Electrical and Electronic Engineering and Technology/Electrical and Electronic Engineering and Technology not further defined
2.0.0	031301	Electrical Engineering	0313	Electrical and Electronic Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Electrical and Electronic Engineering and Technology/Electrical Engineering
2.0.0	031303	Electronic Engineering	0313	Electrical and Electronic Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Electrical and Electronic Engineering and Technology/Electronic Engineering
2.0.0	031305	Computer Engineering	0313	Electrical and Electronic Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Electrical and Electronic Engineering and Technology/Computer Engineering
2.0.0	031307	Communications Technologies	0313	Electrical and Electronic Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Electrical and Electronic Engineering and Technology/Communications Technologies
2.0.0	031309	Communications Equipment Installation and Maintenance	0313	Electrical and Electronic Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Electrical and Electronic Engineering and Technology/Communications Equipment Installation and Maintenance
2.0.0	031311	Power Line Installation and Maintenance	0313	Electrical and Electronic Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Electrical and Electronic Engineering and Technology/Power Line Installation and Maintenance
2.0.0	031313	Electrical Fitting, Electrical Mechanics	0313	Electrical and Electronic Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Electrical and Electronic Engineering and Technology/Electrical Fitting, Electrical Mechanics
2.0.0	031315	Refrigeration, Heating and Air Conditioning	0313	Electrical and Electronic Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Electrical and Electronic Engineering and Technology/Refrigeration, Heating and Air Conditioning
2.0.0	031317	Electronic Equipment Servicing	0313	Electrical and Electronic Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Electrical and Electronic Engineering and Technology/Electronic Equipment Servicing
2.0.0	031399	Electrical and Electronic Engineering  and Technology not elsewhere classified	0313	Electrical and Electronic Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Electrical and Electronic Engineering and Technology/Electrical and Electronic Engineering  and Technology not elsewhere classified
2.0.0	031500	Aerospace Engineering and Technology not further defined	0315	Aerospace Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Aerospace Engineering and Technology/Aerospace Engineering and Technology not further defined
2.0.0	031501	Aerospace Engineering	0315	Aerospace Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Aerospace Engineering and Technology/Aerospace Engineering
2.0.0	031503	Aircraft Maintenance Engineering	0315	Aerospace Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Aerospace Engineering and Technology/Aircraft Maintenance Engineering
2.0.0	031505	Aircraft Operation	0315	Aerospace Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Aerospace Engineering and Technology/Aircraft Operation
