Version	Code	Description	Definition	Two_Digit_Code	Two_Digit_Description	Four_Digit_Code	Four_Digit_Description
1.0.0	820603	Sugar Cane (Cut for Crushing)	Plant Production and Plant Primary Products/Harvesting and Packing of Plant Products/Sugar Cane (Cut for Crushing)	82	Plant Production and Plant Primary Products	8206	Harvesting and Packing of Plant Products
1.0.0	820604	Tobacco Leaf	Plant Production and Plant Primary Products/Harvesting and Packing of Plant Products/Tobacco Leaf	82	Plant Production and Plant Primary Products	8206	Harvesting and Packing of Plant Products
1.0.0	820605	Unprocessed Grains	Plant Production and Plant Primary Products/Harvesting and Packing of Plant Products/Unprocessed Grains	82	Plant Production and Plant Primary Products	8206	Harvesting and Packing of Plant Products
1.0.0	820606	Unprocessed Industrial Crops (excl. Sugar, Tobacco and Cotton)	Plant Production and Plant Primary Products/Harvesting and Packing of Plant Products/Unprocessed Industrial Crops (excl. Sugar, Tobacco and Cotton)	82	Plant Production and Plant Primary Products	8206	Harvesting and Packing of Plant Products
1.0.0	820607	Unprocessed Oilseeds	Plant Production and Plant Primary Products/Harvesting and Packing of Plant Products/Unprocessed Oilseeds	82	Plant Production and Plant Primary Products	8206	Harvesting and Packing of Plant Products
1.0.0	820699	Harvesting and Packing of Plant Products not elsewhere classified	Plant Production and Plant Primary Products/Harvesting and Packing of Plant Products/Harvesting and Packing of Plant Products not elsewhere classified	82	Plant Production and Plant Primary Products	8206	Harvesting and Packing of Plant Products
1.0.0	829801	Management of Gaseous Waste from Plant Production (excl. Greenhouse Gases)	Plant Production and Plant Primary Products/Environmentally Sustainable Plant Production/Management of Gaseous Waste from Plant Production (excl. Greenhouse Gases)	82	Plant Production and Plant Primary Products	8298	Environmentally Sustainable Plant Production
1.0.0	829802	Management of Greenhouse Gas Emissions from Plant Production	Plant Production and Plant Primary Products/Environmentally Sustainable Plant Production/Management of Greenhouse Gas Emissions from Plant Production	82	Plant Production and Plant Primary Products	8298	Environmentally Sustainable Plant Production
1.0.0	829803	Management of Liquid Waste from Plant Production (excl. Water)	Plant Production and Plant Primary Products/Environmentally Sustainable Plant Production/Management of Liquid Waste from Plant Production (excl. Water)	82	Plant Production and Plant Primary Products	8298	Environmentally Sustainable Plant Production
1.0.0	829804	Management of Solid Waste from Plant Production	Plant Production and Plant Primary Products/Environmentally Sustainable Plant Production/Management of Solid Waste from Plant Production	82	Plant Production and Plant Primary Products	8298	Environmentally Sustainable Plant Production
1.0.0	829805	Management of Water Consumption by Plant Production	Plant Production and Plant Primary Products/Environmentally Sustainable Plant Production/Management of Water Consumption by Plant Production	82	Plant Production and Plant Primary Products	8298	Environmentally Sustainable Plant Production
1.0.0	829899	Environmentally Sustainable Plant Production not elsewhere classified	Plant Production and Plant Primary Products/Environmentally Sustainable Plant Production/Environmentally Sustainable Plant Production not elsewhere classified	82	Plant Production and Plant Primary Products	8298	Environmentally Sustainable Plant Production
1.0.0	829901	Forest Product Traceability and Quality Assurance	Plant Production and Plant Primary Products/Other Plant Production and Plant Primary Products/Forest Product Traceability and Quality Assurance	82	Plant Production and Plant Primary Products	8299	Other Plant Production and Plant Primary Products
1.0.0	829902	Plant Product Traceability and Quality Assurance (excl. Forest Products)	Plant Production and Plant Primary Products/Other Plant Production and Plant Primary Products/Plant Product Traceability and Quality Assurance (excl. Forest Products)	82	Plant Production and Plant Primary Products	8299	Other Plant Production and Plant Primary Products
1.0.0	829999	Plant Production and Plant Primary Products not elsewhere classified	Plant Production and Plant Primary Products/Other Plant Production and Plant Primary Products/Plant Production and Plant Primary Products not elsewhere classified	82	Plant Production and Plant Primary Products	8299	Other Plant Production and Plant Primary Products
1.0.0	830101	Aquaculture Crustaceans (excl. Rock Lobster and Prawns)	Animal Production and Animal Primary Products/Fisheries - Aquaculture/Aquaculture Crustaceans (excl. Rock Lobster and Prawns)	83	Animal Production and Animal Primary Products	8301	Fisheries - Aquaculture
1.0.0	830102	Aquaculture Fin Fish (excl. Tuna)	Animal Production and Animal Primary Products/Fisheries - Aquaculture/Aquaculture Fin Fish (excl. Tuna)	83	Animal Production and Animal Primary Products	8301	Fisheries - Aquaculture
1.0.0	830103	Aquaculture Molluscs (excl. Oysters)	Animal Production and Animal Primary Products/Fisheries - Aquaculture/Aquaculture Molluscs (excl. Oysters)	83	Animal Production and Animal Primary Products	8301	Fisheries - Aquaculture
1.0.0	830104	Aquaculture Oysters	Animal Production and Animal Primary Products/Fisheries - Aquaculture/Aquaculture Oysters	83	Animal Production and Animal Primary Products	8301	Fisheries - Aquaculture
1.0.0	830105	Aquaculture Prawns	Animal Production and Animal Primary Products/Fisheries - Aquaculture/Aquaculture Prawns	83	Animal Production and Animal Primary Products	8301	Fisheries - Aquaculture
1.0.0	830106	Aquaculture Rock Lobster	Animal Production and Animal Primary Products/Fisheries - Aquaculture/Aquaculture Rock Lobster	83	Animal Production and Animal Primary Products	8301	Fisheries - Aquaculture
1.0.0	830107	Aquaculture Tuna	Animal Production and Animal Primary Products/Fisheries - Aquaculture/Aquaculture Tuna	83	Animal Production and Animal Primary Products	8301	Fisheries - Aquaculture
1.0.0	830199	Fisheries - Aquaculture not elsewhere classified	Animal Production and Animal Primary Products/Fisheries - Aquaculture/Fisheries - Aquaculture not elsewhere classified	83	Animal Production and Animal Primary Products	8301	Fisheries - Aquaculture
1.0.0	830201	Fisheries - Recreational	Animal Production and Animal Primary Products/Fisheries - Wild Caught/Fisheries - Recreational	83	Animal Production and Animal Primary Products	8302	Fisheries - Wild Caught
1.0.0	830202	Wild Caught Crustaceans (excl. Rock Lobster and Prawns)	Animal Production and Animal Primary Products/Fisheries - Wild Caught/Wild Caught Crustaceans (excl. Rock Lobster and Prawns)	83	Animal Production and Animal Primary Products	8302	Fisheries - Wild Caught
1.0.0	830203	Wild Caught Edible Molluscs	Animal Production and Animal Primary Products/Fisheries - Wild Caught/Wild Caught Edible Molluscs	83	Animal Production and Animal Primary Products	8302	Fisheries - Wild Caught
1.0.0	830204	Wild Caught Fin Fish (excl. Tuna)	Animal Production and Animal Primary Products/Fisheries - Wild Caught/Wild Caught Fin Fish (excl. Tuna)	83	Animal Production and Animal Primary Products	8302	Fisheries - Wild Caught
1.0.0	830205	Wild Caught Prawns	Animal Production and Animal Primary Products/Fisheries - Wild Caught/Wild Caught Prawns	83	Animal Production and Animal Primary Products	8302	Fisheries - Wild Caught
1.0.0	830206	Wild Caught Rock Lobster	Animal Production and Animal Primary Products/Fisheries - Wild Caught/Wild Caught Rock Lobster	83	Animal Production and Animal Primary Products	8302	Fisheries - Wild Caught
1.0.0	830207	Wild Caught Tuna	Animal Production and Animal Primary Products/Fisheries - Wild Caught/Wild Caught Tuna	83	Animal Production and Animal Primary Products	8302	Fisheries - Wild Caught
1.0.0	830299	Fisheries - Wild Caught not elsewhere classified	Animal Production and Animal Primary Products/Fisheries - Wild Caught/Fisheries - Wild Caught not elsewhere classified	83	Animal Production and Animal Primary Products	8302	Fisheries - Wild Caught
1.0.0	830301	Beef Cattle	Animal Production and Animal Primary Products/Livestock Raising/Beef Cattle	83	Animal Production and Animal Primary Products	8303	Livestock Raising
1.0.0	830302	Dairy Cattle	Animal Production and Animal Primary Products/Livestock Raising/Dairy Cattle	83	Animal Production and Animal Primary Products	8303	Livestock Raising
1.0.0	830303	Deer	Animal Production and Animal Primary Products/Livestock Raising/Deer	83	Animal Production and Animal Primary Products	8303	Livestock Raising
1.0.0	830304	Goats	Animal Production and Animal Primary Products/Livestock Raising/Goats	83	Animal Production and Animal Primary Products	8303	Livestock Raising
1.0.0	830305	Game Livestock (e.g. Kangaroos, Wallabies, Camels, Buffaloes, Possums)	Animal Production and Animal Primary Products/Livestock Raising/Game Livestock (e.g. Kangaroos, Wallabies, Camels, Buffaloes, Possums)	83	Animal Production and Animal Primary Products	8303	Livestock Raising
1.0.0	830306	Horses	Animal Production and Animal Primary Products/Livestock Raising/Horses	83	Animal Production and Animal Primary Products	8303	Livestock Raising
1.0.0	830307	Minor Livestock (e.g. Alpacas, Ostriches, Crocodiles, Farmed Rabbits)	Animal Production and Animal Primary Products/Livestock Raising/Minor Livestock (e.g. Alpacas, Ostriches, Crocodiles, Farmed Rabbits)	83	Animal Production and Animal Primary Products	8303	Livestock Raising
1.0.0	830308	Pigs	Animal Production and Animal Primary Products/Livestock Raising/Pigs	83	Animal Production and Animal Primary Products	8303	Livestock Raising
1.0.0	830309	Poultry	Animal Production and Animal Primary Products/Livestock Raising/Poultry	83	Animal Production and Animal Primary Products	8303	Livestock Raising
1.0.0	830310	Sheep - Meat	Animal Production and Animal Primary Products/Livestock Raising/Sheep - Meat	83	Animal Production and Animal Primary Products	8303	Livestock Raising
1.0.0	830311	Sheep - Wool	Animal Production and Animal Primary Products/Livestock Raising/Sheep - Wool	83	Animal Production and Animal Primary Products	8303	Livestock Raising
1.0.0	830399	Livestock Raising not elsewhere classified	Animal Production and Animal Primary Products/Livestock Raising/Livestock Raising not elsewhere classified	83	Animal Production and Animal Primary Products	8303	Livestock Raising
1.0.0	830401	Browse Crops	Animal Production and Animal Primary Products/Pasture, Browse and Fodder Crops/Browse Crops	83	Animal Production and Animal Primary Products	8304	Pasture, Browse and Fodder Crops
1.0.0	830402	Lucerne	Animal Production and Animal Primary Products/Pasture, Browse and Fodder Crops/Lucerne	83	Animal Production and Animal Primary Products	8304	Pasture, Browse and Fodder Crops
1.0.0	830403	Native and Residual Pastures	Animal Production and Animal Primary Products/Pasture, Browse and Fodder Crops/Native and Residual Pastures	83	Animal Production and Animal Primary Products	8304	Pasture, Browse and Fodder Crops
1.0.0	830404	Non-Cereal Crops for Hay	Animal Production and Animal Primary Products/Pasture, Browse and Fodder Crops/Non-Cereal Crops for Hay	83	Animal Production and Animal Primary Products	8304	Pasture, Browse and Fodder Crops
1.0.0	830405	Non-Cereal Crops for Silage/Green Feed	Animal Production and Animal Primary Products/Pasture, Browse and Fodder Crops/Non-Cereal Crops for Silage/Green Feed	83	Animal Production and Animal Primary Products	8304	Pasture, Browse and Fodder Crops
1.0.0	830406	Sown Pastures (excl. Lucerne)	Animal Production and Animal Primary Products/Pasture, Browse and Fodder Crops/Sown Pastures (excl. Lucerne)	83	Animal Production and Animal Primary Products	8304	Pasture, Browse and Fodder Crops
1.0.0	830499	Pasture, Browse and Fodder Crops not elsewhere classified	Animal Production and Animal Primary Products/Pasture, Browse and Fodder Crops/Pasture, Browse and Fodder Crops not elsewhere classified	83	Animal Production and Animal Primary Products	8304	Pasture, Browse and Fodder Crops
1.0.0	830501	Eggs	Animal Production and Animal Primary Products/Primary Animal Products/Eggs	83	Animal Production and Animal Primary Products	8305	Primary Animal Products
1.0.0	830502	Honey	Animal Production and Animal Primary Products/Primary Animal Products/Honey	83	Animal Production and Animal Primary Products	8305	Primary Animal Products
1.0.0	830503	Live Animals	Animal Production and Animal Primary Products/Primary Animal Products/Live Animals	83	Animal Production and Animal Primary Products	8305	Primary Animal Products
1.0.0	830504	Pearls	Animal Production and Animal Primary Products/Primary Animal Products/Pearls	83	Animal Production and Animal Primary Products	8305	Primary Animal Products
1.0.0	830505	Raw Wool	Animal Production and Animal Primary Products/Primary Animal Products/Raw Wool	83	Animal Production and Animal Primary Products	8305	Primary Animal Products
1.0.0	830506	Unprocessed or Minimally Processed Fish	Animal Production and Animal Primary Products/Primary Animal Products/Unprocessed or Minimally Processed Fish	83	Animal Production and Animal Primary Products	8305	Primary Animal Products
1.0.0	830507	Unprocessed or Minimally Processed Milk	Animal Production and Animal Primary Products/Primary Animal Products/Unprocessed or Minimally Processed Milk	83	Animal Production and Animal Primary Products	8305	Primary Animal Products
1.0.0	830599	Primary Animal Products not elsewhere classified	Animal Production and Animal Primary Products/Primary Animal Products/Primary Animal Products not elsewhere classified	83	Animal Production and Animal Primary Products	8305	Primary Animal Products
1.0.0	839801	Management of Gaseous Waste from Animal Production (excl. Greenhouse Gases)	Animal Production and Animal Primary Products/Environmentally Sustainable Animal Production/Management of Gaseous Waste from Animal Production (excl. Greenhouse Gases)	83	Animal Production and Animal Primary Products	8398	Environmentally Sustainable Animal Production
1.0.0	839802	Management of Greenhouse Gas Emissions from Animal Production	Animal Production and Animal Primary Products/Environmentally Sustainable Animal Production/Management of Greenhouse Gas Emissions from Animal Production	83	Animal Production and Animal Primary Products	8398	Environmentally Sustainable Animal Production
1.0.0	839803	Management of Liquid Waste from Animal Production (excl. Water)	Animal Production and Animal Primary Products/Environmentally Sustainable Animal Production/Management of Liquid Waste from Animal Production (excl. Water)	83	Animal Production and Animal Primary Products	8398	Environmentally Sustainable Animal Production
1.0.0	839804	Management of Solid Waste from Animal Production	Animal Production and Animal Primary Products/Environmentally Sustainable Animal Production/Management of Solid Waste from Animal Production	83	Animal Production and Animal Primary Products	8398	Environmentally Sustainable Animal Production
1.0.0	839805	Management of Water Consumption by Animal Production	Animal Production and Animal Primary Products/Environmentally Sustainable Animal Production/Management of Water Consumption by Animal Production	83	Animal Production and Animal Primary Products	8398	Environmentally Sustainable Animal Production
1.0.0	839899	Environmentally Sustainable Animal Production not elsewhere classified	Animal Production and Animal Primary Products/Environmentally Sustainable Animal Production/Environmentally Sustainable Animal Production not elsewhere classified	83	Animal Production and Animal Primary Products	8398	Environmentally Sustainable Animal Production
1.0.0	839901	Animal Welfare	Animal Production and Animal Primary Products/Other Animal Production and Animal Primary Products/Animal Welfare	83	Animal Production and Animal Primary Products	8399	Other Animal Production and Animal Primary Products
1.0.0	839902	Fish Product Traceability and Quality Assurance	Animal Production and Animal Primary Products/Other Animal Production and Animal Primary Products/Fish Product Traceability and Quality Assurance	83	Animal Production and Animal Primary Products	8399	Other Animal Production and Animal Primary Products
1.0.0	839903	Livestock Product Traceability and Quality Assurance	Animal Production and Animal Primary Products/Other Animal Production and Animal Primary Products/Livestock Product Traceability and Quality Assurance	83	Animal Production and Animal Primary Products	8399	Other Animal Production and Animal Primary Products
1.0.0	839999	Animal Production and Animal Primary Products not elsewhere classified	Animal Production and Animal Primary Products/Other Animal Production and Animal Primary Products/Animal Production and Animal Primary Products not elsewhere classified	83	Animal Production and Animal Primary Products	8399	Other Animal Production and Animal Primary Products
1.0.0	840101	Aluminium Ore Exploration	Mineral Resources (excl. Energy Resources)/Mineral Exploration/Aluminium Ore Exploration	84	Mineral Resources (excl. Energy Resources)	8401	Mineral Exploration
1.0.0	840102	Copper Ore Exploration	Mineral Resources (excl. Energy Resources)/Mineral Exploration/Copper Ore Exploration	84	Mineral Resources (excl. Energy Resources)	8401	Mineral Exploration
1.0.0	840103	Diamond Exploration	Mineral Resources (excl. Energy Resources)/Mineral Exploration/Diamond Exploration	84	Mineral Resources (excl. Energy Resources)	8401	Mineral Exploration
1.0.0	840104	Iron Ore Exploration	Mineral Resources (excl. Energy Resources)/Mineral Exploration/Iron Ore Exploration	84	Mineral Resources (excl. Energy Resources)	8401	Mineral Exploration
1.0.0	840105	Precious (Noble) Metal Ore Exploration	Mineral Resources (excl. Energy Resources)/Mineral Exploration/Precious (Noble) Metal Ore Exploration	84	Mineral Resources (excl. Energy Resources)	8401	Mineral Exploration
1.0.0	840106	Stone and Clay Exploration	Mineral Resources (excl. Energy Resources)/Mineral Exploration/Stone and Clay Exploration	84	Mineral Resources (excl. Energy Resources)	8401	Mineral Exploration
1.0.0	840107	Titanium Minerals, Zircon, and Rare Earth Metal Ore (e.g. Monazite) Exploration	Mineral Resources (excl. Energy Resources)/Mineral Exploration/Titanium Minerals, Zircon, and Rare Earth Metal Ore (e.g. Monazite) Exploration	84	Mineral Resources (excl. Energy Resources)	8401	Mineral Exploration
1.0.0	840108	Zinc Ore Exploration	Mineral Resources (excl. Energy Resources)/Mineral Exploration/Zinc Ore Exploration	84	Mineral Resources (excl. Energy Resources)	8401	Mineral Exploration
1.0.0	840199	Mineral Exploration not elsewhere classified	Mineral Resources (excl. Energy Resources)/Mineral Exploration/Mineral Exploration not elsewhere classified	84	Mineral Resources (excl. Energy Resources)	8401	Mineral Exploration
