Version	Code	Description	Appropriation	AppropriationPeriod	Vote	Scope	EstimateType	StartYear	EndYear	Amount
1.0	00011809-2019-E	Talent and Science Promotion: Science in Society Business, Science and Innovation, 2019	Talent and Science Promotion: Science in Society	A	Business, Science and Innovation	This category is limited to approaches that enhance and enable better engagement of New Zealanders with science and technology.	E	2019	2020	8849000
1.0	00011810-2019-E	Talent and Science Promotion: Vision Mātauranga Capability Fund Business, Science and Innovation, 2019	Talent and Science Promotion: Vision Mātauranga Capability Fund	A	Business, Science and Innovation	This category is limited to the development of skilled people and organisations undertaking research that supports the four themes of Vision Matauranga; indigenous innovation, environmental sustainability, health and social well- being, and exploring indigenous knowledge.	E	2019	2020	6251000
1.0	00012053-2019-E	Targeted Business Research and Development Funding Business, Science and Innovation, 2019	Targeted Business Research and Development Funding	A	Business, Science and Innovation	This appropriation is limited to co-funding for private businesses to undertake research and development projects and for funding students to work in research and development active businesses.	E	2019	2020	32500000
1.0	00010105-2019-E	Centres of Research Excellence Tertiary Education, 2019	Centres of Research Excellence	A	Tertiary Education	This appropriation is limited to the purchase of cooperative and collaborative tertiary research in areas of research strength in the tertiary education sector through the contestable Centres of Research Excellence Fund.	E	2019	2020	49800000
1.0	00010111-2019-E	Tertiary Education Research and Research-Based Teaching Tertiary Education, 2019	Tertiary Education Research and Research-Based Teaching	A	Tertiary Education	This appropriation is limited to funding research and research-based teaching on the basis of measured research quality in tertiary education organisations and supporting Wananga research capability.	E	2019	2020	318750000
1.0	00010609-2019-E	Crash Analysis Transport, 2019	Crash Analysis	A	Transport	This appropriation is limited to operating the Crash Analysis System and performing associated crash analysis and research activities.	E	2019	2020	775000
1.0	00011912-2020-E	Food Safety: Protecting Consumers: Food Safety Science and Research Agriculture, Biosecurity, Fisheries and Food Safety, 2020	Food Safety: Protecting Consumers: Food Safety Science and Research	A	Agriculture, Biosecurity, Fisheries and Food Safety	This category is limited to the promotion, coordination and delivery of food safety science and research.	E	2020	2021	1150000
1.0	00011612-2020-E	Food Safety: Protecting Consumers: Food Safety: Joint Food Standards Setting Treaty Agriculture, Biosecurity, Fisheries and Food Safety, 2020	Food Safety: Protecting Consumers: Food Safety: Joint Food Standards Setting Treaty	A	Agriculture, Biosecurity, Fisheries and Food Safety	This category is limited to the development of joint food standards, codes of practice, and guidance material for Australia and New Zealand by Food Standards Australia New Zealand in accordance with the Joint Food Standards Setting Treaty.	E	2020	2021	2100000
1.0	00012263-2020-E	Programmes Supporting Sustainability: Climate Change Research Agriculture, Biosecurity, Fisheries and Food Safety, 2020	Programmes Supporting Sustainability: Climate Change Research	A	Agriculture, Biosecurity, Fisheries and Food Safety	This category is limited to obtaining science, research, technology, capacity and capability in climate change related to the primary land-based sectors.	E	2020	2021	8567000
1.0	00012509-2020-E	Programmes Supporting Sustainability: Recovery Assistance Agriculture, Biosecurity, Fisheries and Food Safety, 2020	Programmes Supporting Sustainability: Recovery Assistance	A	Agriculture, Biosecurity, Fisheries and Food Safety	This category is limited to providing recovery assistance to the primary sector to prevent or repair damage or minimise losses or provide professional advice following a response or adverse event such as a fire or biosecurity incursion.	E	2020	2021	1526000
1.0	00010660-2020-E	Callaghan Innovation Business, Science and Innovation, 2020	Callaghan Innovation	A	Business, Science and Innovation	This appropriation is limited to capital expenditure to support the development of Callaghan Innovation’s strategic infrastructure.	E	2020	2021	29458000
1.0	00011827-2020-E	Callaghan Innovation - Operations: Building Business Innovation Business, Science and Innovation, 2020	Callaghan Innovation - Operations: Building Business Innovation	A	Business, Science and Innovation	This category is limited to activities that raise awareness about and increase business investment in Research and Development.	E	2020	2021	36378000
1.0	00011826-2020-E	Callaghan Innovation - Operations: Business Research and Development Contract Management Business, Science and Innovation, 2020	Callaghan Innovation - Operations: Business Research and Development Contract Management	A	Business, Science and Innovation	This category is limited to selection of businesses or individuals for either the provision of Research Science and Technology output, or the award of grants, and to negotiate, manage and monitor appropriate contracts with these businesses or individuals.	E	2020	2021	7750000
1.0	00011828-2020-E	Callaghan Innovation - Operations: Research and Development Services and Facilities for Business and Industry Business, Science and Innovation, 2020	Callaghan Innovation - Operations: Research and Development Services and Facilities for Business and Industry	A	Business, Science and Innovation	This category is limited to providing research and technical expertise and facilities to business and industry.	E	2020	2021	36160000
1.0	00009652-2020-E	Catalyst Fund Business, Science and Innovation, 2020	Catalyst Fund	A	Business, Science and Innovation	This appropriation is limited to grants to support international science partnerships.	E	2020	2021	34751000
1.0	00011859-2020-E	Contract Management: Research Contract Management Business, Science and Innovation, 2020	Contract Management: Research Contract Management	A	Business, Science and Innovation	This category is limited to the selection of organisations and/or individuals to either provide research, science and technology related outputs, or manage and award research, science and technology grants; and to negotiate, manage and monitor appropriate contracts related to those outputs or awards.	E	2020	2021	10673000
1.0	00011820-2020-E	Endeavour Fund Business, Science and Innovation, 2020	Endeavour Fund	A	Business, Science and Innovation	This appropriation is limited to research, science or technology, and related activities that have the potential for excellence and long-term impact for New Zealand’s economy, society or environment.	E	2020	2021	242712000
1.0	00011824-2020-E	Health Research Fund Business, Science and Innovation, 2020	Health Research Fund	A	Business, Science and Innovation	This appropriation is limited to research and research applications with the primary purpose of improving the health and well-being of New Zealanders.	E	2020	2021	117489000
1.0	00000098-2020-E	International Energy Agency Contribution Business, Science and Innovation, 2020	International Energy Agency Contribution	A	Business, Science and Innovation	This appropriation is limited to contributions towards the cost of membership fees to International Energy Agency, and energy-related research and policy development undertaken by the International Energy Agency.	E	2020	2021	249000
1.0	00000748-2020-E	Marsden Fund Business, Science and Innovation, 2020	Marsden Fund	A	Business, Science and Innovation	This appropriation is limited to excellent investigator-led research.	E	2020	2021	78545000
1.0	00000745-2020-E	National Measurement Standards Business, Science and Innovation, 2020	National Measurement Standards	A	Business, Science and Innovation	This appropriation is limited to providing specified standards to satisfy the needs for traceable physical measurement in New Zealand.	E	2020	2021	8118000
1.0	00012500-2020-E	National Science Challenges Business, Science and Innovation, 2020	National Science Challenges	A	Business, Science and Innovation	This appropriation is limited to strategic, collaborative mission-led research programmes to find innovative solutions to fundamental issues and opportunities facing New Zealand.	E	2020	2021	114744000
1.0	00011823-2020-E	Partnered Research Fund Business, Science and Innovation, 2020	Partnered Research Fund	A	Business, Science and Innovation	This appropriation is limited to the co-funding of research commissioned by users, and the application of research by users.	E	2020	2021	33390000
1.0	00011929-2020-E	Regional Research Institutes Business, Science and Innovation, 2020	Regional Research Institutes	A	Business, Science and Innovation	This appropriation is limited to the establishment of and contribution to the operation of Regional Research Institutes.	E	2020	2021	11353000
1.0	00010825-2020-E	Repayable Grants for Start-Ups Business, Science and Innovation, 2020	Repayable Grants for Start-Ups	A	Business, Science and Innovation	This appropriation is limited to funding for early stage businesses and development of business incubators and accelerators.	E	2020	2021	20746000
1.0	00012052-2020-E	Research and Development Growth Grants Business, Science and Innovation, 2020	Research and Development Growth Grants	A	Business, Science and Innovation	This appropriation is limited to co-funding for private businesses to invest in a multi-year programme of research and development.	E	2020	2021	172586000
1.0	00011815-2020-E	Strategic Science Investment Fund: Strategic Science Investment Fund - Infrastructure Business, Science and Innovation, 2020	Strategic Science Investment Fund: Strategic Science Investment Fund - Infrastructure	A	Business, Science and Innovation	This category is limited to funding that provides access to research technology, facilities, infrastructure, collections and databases, and associated support services.	E	2020	2021	62859000
1.0	00011814-2020-E	Strategic Science Investment Fund: Strategic Science Investment Fund - Programmes Business, Science and Innovation, 2020	Strategic Science Investment Fund: Strategic Science Investment Fund - Programmes	A	Business, Science and Innovation	This category is limited to funding for research organisations to undertake longer-term programmes of mission-led research.	E	2020	2021	260822000
1.0	00011811-2020-E	Talent and Science Promotion: Fellowships for Excellence Business, Science and Innovation, 2020	Talent and Science Promotion: Fellowships for Excellence	A	Business, Science and Innovation	This category is limited to encouraging the career development of the country's talented early and mid-career researchers.	E	2020	2021	10570000
1.0	00011812-2020-E	Talent and Science Promotion: Royal Society of New Zealand Business, Science and Innovation, 2020	Talent and Science Promotion: Royal Society of New Zealand	A	Business, Science and Innovation	This category is limited to an annual grant to the Royal Society of New Zealand to contribute towards the Society's aims and functions under the Royal Society of New Zealand Act 1997 to promote and advance science and technology.	E	2020	2021	500000
1.0	00011809-2020-E	Talent and Science Promotion: Science in Society Business, Science and Innovation, 2020	Talent and Science Promotion: Science in Society	A	Business, Science and Innovation	This category is limited to approaches that enhance and enable better engagement of New Zealanders with science and technology.	E	2020	2021	11849000
1.0	00011810-2020-E	Talent and Science Promotion: Vision Mātauranga Capability Fund Business, Science and Innovation, 2020	Talent and Science Promotion: Vision Mātauranga Capability Fund	A	Business, Science and Innovation	This category is limited to the development of skilled people and organisations undertaking research that supports the four themes of Vision Matauranga; indigenous innovation, environmental sustainability, health and social well- being, and exploring indigenous knowledge.	E	2020	2021	6070000
1.0	00012053-2020-E	Targeted Business Research and Development Funding Business, Science and Innovation, 2020	Targeted Business Research and Development Funding	A	Business, Science and Innovation	This appropriation is limited to co-funding for private businesses to undertake research and development projects and for funding students to work in research and development active businesses.	E	2020	2021	32500000
