Code,Description,Definition,Numeric_Code
AFN,Afghani,This code is for the Afghani used in Afghanistan,971
EUR,Euro,"This code is for the Euro used in Åland Islands, Andorra, Austria, Belgium, Cyprus, Estonia, European Union, Finland, France, French Guiana, French Southern Territories (The), Germany, Greece, Guadeloupe, Holy See (The), Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Martinique, Mayotte, Monaco, Montenegro, Netherlands (The), Portugal, Réunion, Saint Barthélemy, Saint Martin (French Part), Saint Pierre And Miquelon, San Marino, Slovakia, Slovenia, Spain",978
ALL,Lek,This code is for the Lek used in Albania,008
DZD,Algerian Dinar,This code is for the Algerian Dinar used in Algeria,012
USD,US Dollar,"This code is for the US Dollar used in American Samoa, Bonaire, Sint Eustatius And Saba, British Indian Ocean Territory (The), Ecuador, El Salvador, Guam, Haiti, Marshall Islands (The), Micronesia (Federated States Of), Northern Mariana Islands (The), Palau, Panama, Puerto Rico, Timor-Leste, Turks And Caicos Islands (The), United States Minor Outlying Islands (The), United States Of America (The), Virgin Islands (British), Virgin Islands (U.s.)",840
AOA,Kwanza,This code is for the Kwanza used in Angola,973
XCD,East Caribbean Dollar,This code is for East Caribbean Dollar,951
ARS,Argentine Peso,This code is for the Argentine Peso used in Argentina,032
AMD,Armenian Dram,This code is for the Armenian Dram used in Armenia,051
AWG,Aruban Florin,This code is for the Aruban Florin used in Aruba,533
AUD,Australian Dollar,"This code is for the Australian Dollar used in Australia, Christmas Island, Cocos (Keeling) Islands (The), Heard Island And Mcdonald Islands, Kiribati, Nauru, Norfolk Island, Tuvalu",036
AZN,Azerbaijan Manat,This code is for the Azerbaijan Manat used in Azerbaijan,944
BSD,Bahamian Dollar,This code is for the Bahamian Dollar used in Bahamas (The),044
