Version,Code,Description,Definition
639-2,sai,South American Indian (Other),
639-2,sal,Salishan languages,
639-2,sam,Samaritan Aramaic,
639-2,san,Sanskrit,
639-2,sas,Sasak,
639-2,sat,Santali,
639-2,scn,Sicilian,
639-2,sco,Scots,
639-2,sel,Selkup,
639-2,sem,Semitic languages,
639-2,sga,"Irish, Old (to 900)",
639-2,sgn,Sign Languages,
639-2,shn,Shan,
639-2,sid,Sidamo,
639-2,sin,Sinhala; Sinhalese,
639-2,sio,Siouan languages,
639-2,sit,Sino-Tibetan languages,
639-2,sla,Slavic languages,
639-2,slo,Slovak,
639-2,slv,Slovenian,
639-2,sma,Southern Sami,
639-2,sme,Northern Sami,
639-2,smi,Sami languages,
639-2,smj,Lule Sami,
639-2,smn,Inari Sami,
639-2,smo,Samoan,
639-2,sms,Skolt Sami,
639-2,sna,Shona,
639-2,snd,Sindhi,
639-2,snk,Soninke,
639-2,sog,Sogdian,
639-2,som,Somali,
639-2,son,Songhai languages,
639-2,sot,"Sotho, Southern",
639-2,spa,Spanish; Castilian,
639-2,srd,Sardinian,
639-2,srn,Sranan Tongo,
639-2,srp,Serbian,
639-2,srr,Serer,
639-2,ssa,Nilo-Saharan languages,
639-2,ssw,Swati,
639-2,suk,Sukuma,
639-2,sun,Sundanese,
639-2,sus,Susu,
639-2,sux,Sumerian,
639-2,swa,Swahili,
639-2,swe,Swedish,
639-2,syc,Classical Syriac,
639-2,syr,Syriac,
639-2,tah,Tahitian,
639-2,tai,Tai languages,
639-2,tam,Tamil,
639-2,tat,Tatar,
639-2,tel,Telugu,
639-2,tem,Timne,
639-2,ter,Tereno,
639-2,tet,Tetum,
639-2,tgk,Tajik,
639-2,tgl,Tagalog,
639-2,tha,Thai,
639-2,tib,Tibetan,
639-2,tig,Tigre,
639-2,tir,Tigrinya,
639-2,tiv,Tiv,
639-2,tkl,Tokelau,
639-2,tlh,Klingon; tlhIngan-Hol,
639-2,tli,Tlingit,
639-2,tmh,Tamashek,
639-2,tog,Tonga (Nyasa),
639-2,ton,Tonga (Tonga Islands),
639-2,tpi,Tok Pisin,
639-2,tsi,Tsimshian,
639-2,tsn,Tswana,
639-2,tso,Tsonga,
639-2,tuk,Turkmen,
639-2,tum,Tumbuka,
639-2,tup,Tupi languages,
639-2,tur,Turkish,
639-2,tut,Altaic languages,
639-2,tvl,Tuvalu,
639-2,twi,Twi,
639-2,tyv,Tuvinian,
639-2,udm,Udmurt,
639-2,uga,Ugaritic,
639-2,uig,Uighur; Uyghur,
639-2,ukr,Ukrainian,
639-2,umb,Umbundu,
639-2,und,Undetermined,
639-2,urd,Urdu,
639-2,uzb,Uzbek,
639-2,vai,Vai,
639-2,ven,Venda,
639-2,vie,Vietnamese,
639-2,vol,Volapük,
639-2,vot,Votic,
639-2,wak,Wakashan languages,
639-2,wal,Walamo,
639-2,war,Waray,
639-2,was,Washo,
639-2,wel,Welsh,
639-2,wen,Sorbian languages,
639-2,wln,Walloon,
639-2,wol,Wolof,
639-2,xal,Kalmyk; Oirat,
639-2,xho,Xhosa,
639-2,yao,Yao,
639-2,yap,Yapese,
639-2,yid,Yiddish,
639-2,yor,Yoruba,
639-2,ypk,Yupik languages,
639-2,zap,Zapotec,
639-2,zbl,Blissymbols; Blissymbolics; Bliss,
639-2,zen,Zenaga,
639-2,zgh,Standard Moroccan Tamazight,
639-2,zha,Zhuang; Chuang,
639-2,znd,Zande languages,
639-2,zul,Zulu,
639-2,zun,Zuni,
639-2,zxx,No linguistic content; Not applicable,
639-2,zza,Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki,
